,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapour Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost,Alternative Name
300,0,,,,,,2-phenylethanol,,,,,,,,,,,,,0.64,0.61,0.88,,,,,,,,,,,,,,,,,
305,0,,,,,,"3,4-dimethylpyridine",,,,,,,,,,,,,0.0,0.78,0.73,,,,,,,,,,,,,,,,,
306,0,,,,,,3-bromopyridine,,,,,,,,,,,,,0.0,0.6,0.89,,,,,,,,,,,,,,,,,
307,0,,,,,,3-chlorophenol,,,,,,,,,,,,,1.57,0.23,0.77,,,,,,,,,,,,,,,,,
309,0,,,,,,3-methyl-1-octyl-1H-imidazol-3-ium bis[(trifluoromethyl)sulfonyl]azanide,,,,,,,,,,,,,0.97,0.28,0.97,,,,,,,,,,,,,,,,,
311,0,,,,,,3-phenylpropanol,,,,,,,,,,,,,0.53,0.55,0.95,,,,,,,,,,,,,,,,,
314,0,,,,,,4-methylphenol,,,,,,,,,,,,,1.64,0.34,0.68,,,,,,,,,,,,,,,,,
315,0,,,,,,4-methylpyridine,,,,,,,,,,,,,0.0,0.67,0.84,,,,,,,,,,,,,,,,,
318,0,,,,,,bis(2-methoxyethyl) ether,,,,,,,,,,,,,0.0,0.4,0.64,,,,,,,,,,,,,,,,,
321,0,,,,,,chloroacetonitrile,,,,,,,,,,,,,0.0,0.34,1.01,,,,,,,,,,,,,,,,,
322,0,,,,,,cis-decalin,,,,,,,,,,,,,0.0,0.08,0.11,,,,,,,,,,,,,,,,,
323,0,,,,,,cyclopentanone,,,,,,,,,,,,,0.0,0.52,0.76,,,,,,,,,,,,,,,,,
324,0,,,,,,decane,,,,,,,,,,,,,0.0,0.0,0.03,,,,,,,,,,,,,,,,,
326,0,,,,,,di-n-butyl sulfide,,,,,,,,,,,,,0.0,0.38,0.36,,,,,,,,,,,,,,,,,
328,0,,,,,,dibromomethane,,,,,,,,,,,,,0.0,0.0,0.92,,,,,,,,,,,,,,,,,
330,0,,,,,,diisopropyl sulfide,,,,,,,,,,,,,0.0,0.38,0.36,,,,,,,,,,,,,,,,,
331,0,,,,,,dimethyl sulfide,,,,,,,,,,,,,0.0,0.34,0.57,,,,,,,,,,,,,,,,,
332,0,,,,,,dimethylcyanamide,,,,,,,,,,,,,0.0,0.64,0.72,,,,,,,,,,,,,,,,,
333,0,,,,,,diphenyl ether,,,,,,,,,,,,,0.0,0.13,0.66,,,,,,,,,,,,,,,,,
334,0,,,,,,dipropyl ether,,,,,,,,,,,,,0.0,0.46,0.27,,,,,,,,,,,,,,,,,
335,0,,,,,,dodecane,,,,,,,,,,,,,0.0,0.0,0.05,,,,,,,,,,,,,,,,,
336,0,,,,,,ethanediol,,,,,,,,,,,,,0.9,0.52,0.92,,,,,,,,,,,,,,,,,
337,0,,,,,,ethoxybenzene,,,,,,,,,,,,,0.0,0.3,0.69,,,,,,,,,,,,,,,,,
338,0,,,,,,ethyl benzoate,,,,,,,,,,,,,0.0,0.41,0.74,,,,,,,,,,,,,,,,,
339,0,,,,,,ethyl chloroacetate,,,,,,,,,,,,,0.0,0.35,0.7,,,,,,,,,,,,,,,,,
340,0,,,,,,ethyl trichloroacetate,,,,,,,,,,,,,0.0,0.25,0.61,,,,,,,,,,,,,,,,,
341,0,,,,,,fluorobenzene,,,,,,,,,,,,,0.0,0.07,0.62,,,,,,,,,,,,,,,,,
342,0,,,,,,heptanoic acid,,,,,,,,,,,,,1.2,0.45,0.5,,,,,,,,,,,,,,,,,
343,0,,,,,,hexafluorobenzene,,,,,,,,,,,,,0.0,0.02,0.33,,,,,,,,,,,,,,,,,
344,0,,,,,,hexanoic acid,,,,,,,,,,,,,1.22,0.45,0.52,,,,,,,,,,,,,,,,,
345,0,,,,,,hexanol,,,,,,,,,,,,,0.8,0.84,0.4,,,,,,,,,,,,,,,,,
346,0,,,,,,iodobenzene,,,,,,,,,,,,,0.0,0.06,0.81,,,,,,,,,,,,,,,,,
348,0,,,,,,methyl formate,,,,,,,,,,,,,0.0,0.37,0.62,,,,,,,,,,,,,,,,,
350,0,,,,,,"N,N-diethylacetamide",,,,,,,,,,,,,0.0,0.78,0.84,,,,,,,,,,,,,,,,,
351,0,,,,,,"N,N-dimethylaniline",,,,,,,,,,,,,0.0,0.43,0.73,,,,,,,,,,,,,,,,,
352,0,,,,,,"N,N-dimethylbenzylamine",,,,,,,,,,,,,0.0,0.64,0.45,,,,,,,,,,,,,,,,,
353,0,,,,,,"N,N-dimethylcyclohexylamine",,,,,,,,,,,,,0.0,0.84,0.23,,,,,,,,,,,,,,,,,
355,0,,,,,,N-methylacetamide,,,,,,,,,,,,,0.47,0.8,1.01,,,,,,,,,,,,,,,,,
356,0,,,,,,N-methylaniline,,,,,,,,,,,,,0.17,0.47,0.82,,,,,,,,,,,,,,,,,
357,0,,,,,,N-methylformamide,,,,,,,,,,,,,0.62,0.8,0.9,,,,,,,,,,,,,,,,,
359,0,,,,,,octadecafluoronaphthalene,,,,,,,,,,,,,0.0,-0.05,-0.32,,,,,,,,,,,,,,,,,
360,0,,,,,,octane,,,,,,,,,,,,,0.0,0.0,0.01,,,,,,,,,,,,,,,,,
362,0,,,,,,oxane,,,,,,,,,,,,,0.0,0.54,0.51,,,,,,,,,,,,,,,,,
364,0,,,,,,pentafluoropyridine,,,,,,,,,,,,,0.0,0.16,0.53,,,,,,,,,,,,,,,,,
365,0,,,,,,pentanoic acid,,,,,,,,,,,,,1.19,0.45,0.54,,,,,,,,,,,,,,,,,
368,0,,,,,,piperidine,,,,,,,,,,,,,0.0,1.04,0.3,,,,,,,,,,,,,,,,,
370,0,,,,,,propanoic acid,,,,,,,,,,,,,1.12,0.45,0.58,,,,,,,,,,,,,,,,,
372,0,,,,,,pyrrolidine,,,,,,,,,,,,,0.16,0.7,0.39,,,,,,,,,,,,,,,,,
375,0,,,,,,tetradecafluorohexane,,,,,,,,,,,,,0.0,-0.08,-0.41,,,,,,,,,,,,,,,,,
376,0,,,,,,tetramethylsilane,,,,,,,,,,,,,0.0,0.02,-0.09,,,,,,,,,,,,,,,,,
377,0,,,,,,thiane,,,,,,,,,,,,,0.0,0.36,0.61,,,,,,,,,,,,,,,,,
378,0,,,,,,thiolane,,,,,,,,,,,,,0.0,0.44,0.62,,,,,,,,,,,,,,,,,
379,0,,,,,,thiolane-1-oxide,,,,,,,,,,,,,0.0,0.81,1.06,,,,,,,,,,,,,,,,,
380,0,,,,,,"trans-1,2-dichloroethene",,,,,,,,,,,,,0.0,0.0,0.44,,,,,,,,,,,,,,,,,
382,0,,,,,,tributylamine,,,,,,,,,,,,,0.0,0.62,0.16,,,,,,,,,,,,,,,,,
